State / Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,514,539,523,551,532,563,513,512,569,555,583,512,514,521,541,535,580,592,604,673,679,654,724,721,715,750,788,836,823,804,793
Alaska,70,73,90,97,121,103,120,128,129,96,137,102,132,124,155,131,135,149,169,143,164,143,168,171,167,201,193,200,184,210,204
Arizona,686,662,653,727,767,805,726,757,804,766,784,767,886,840,880,945,979,1016,972,1060,1093,1160,1156,1163,1244,1276,1271,1327,1438,1419,1363
Arkansas,293,283,293,317,364,360,323,356,344,336,349,382,377,374,361,400,376,402,447,422,447,462,485,516,515,577,555,631,554,548,583
California,3708,3716,3723,3875,3712,3694,3408,3430,3415,3077,2969,2831,3228,3397,3368,3206,3334,3602,3775,3823,3913,3996,3893,4025,4214,4167,4294,4312,4491,4436,4144
Colorado,554,563,598,607,614,654,694,611,611,574,613,722,727,728,797,800,730,811,803,941,865,913,1052,1007,1083,1093,1168,1181,1282,1312,1302
Connecticut,299,330,298,302,324,323,292,259,257,274,304,283,260,272,294,295,292,271,315,316,353,370,368,330,379,384,397,405,419,435,364
Delaware,80,79,88,94,80,80,97,87,68,86,82,108,74,94,93,83,91,95,109,107,106,105,125,122,126,122,119,112,113,111,124
District of Columbia,37,34,34,43,29,39,35,35,43,30,23,40,31,36,33,33,30,36,43,29,41,37,37,38,52,34,40,47,54,44,38
Florida,2086,2095,2027,2130,2075,2165,2153,2098,2172,2029,2086,2314,2338,2297,2389,2347,2440,2587,2740,2858,2789,2880,3002,2928,3035,3205,3143,3227,3567,3465,3135
Georgia,880,893,811,856,835,825,867,903,822,873,847,935,909,972,973,924,923,997,981,1134,1133,1157,1168,1212,1294,1317,1409,1451,1569,1585,1491
Hawaii,125,107,129,120,138,142,127,138,116,136,137,136,120,131,116,107,120,133,133,175,207,181,190,171,204,201,174,227,176,224,184
Idaho,192,165,168,189,201,186,177,209,201,181,167,210,202,217,236,228,222,223,252,304,290,281,297,308,320,359,351,392,417,365,419
Illinois,1158,1189,1142,1160,1068,1118,1061,901,1036,1020,1003,1139,1145,1011,1028,1086,1010,1108,1198,1177,1178,1226,1292,1321,1398,1363,1415,1474,1488,1439,1362
Indiana,728,703,695,731,718,698,738,729,699,628,683,715,743,736,704,745,824,790,809,828,864,881,940,944,948,960,1034,1092,1079,972,1024
Iowa,336,335,287,318,322,335,321,345,329,305,289,304,314,352,343,333,334,322,380,361,372,422,383,447,407,433,451,479,490,528,552
Kansas,297,310,311,336,292,291,334,320,325,299,325,293,345,347,370,362,379,382,337,382,401,394,502,425,455,477,514,553,556,523,531
Kentucky,549,490,493,523,517,480,488,488,526,470,521,495,540,567,560,566,622,649,612,592,631,675,724,701,727,776,756,770,800,756,801
Louisiana,558,558,529,530,552,544,531,528,480,518,468,493,499,461,537,505,492,522,532,490,557,573,567,583,679,722,677,720,720,704,642
Maine,155,177,157,181,168,161,171,137,196,175,154,161,166,137,171,175,158,191,181,197,186,235,209,245,220,235,226,274,270,276,234
Maryland,486,429,461,529,528,509,501,519,497,435,474,454,477,491,500,472,495,518,507,551,502,558,583,569,606,553,586,630,650,657,585
Massachusetts,528,489,534,467,512,489,490,492,506,431,387,426,436,433,425,480,450,516,509,530,598,585,604,572,596,642,631,682,740,647,618
Michigan,1073,1142,1068,1084,1036,980,1114,1010,969,974,974,1051,1106,1029,1098,1108,1139,1131,1180,1169,1263,1221,1261,1295,1354,1410,1364,1457,1548,1472,1444
Minnesota,546,511,513,498,494,520,491,472,459,437,440,480,497,497,524,547,554,572,596,584,606,683,656,678,686,730,745,783,739,830,758
Mississippi,289,325,333,327,315,319,310,339,329,304,294,328,343,336,350,363,325,396,409,381,388,389,410,388,380,431,383,445,421,436,410
Missouri,708,714,626,672,728,721,760,710,698,700,699,725,693,679,715,727,799,808,779,860,856,933,914,960,1017,1052,1133,1151,1230,1.141,1125
Montana,167,161,153,155,158,201,174,183,158,162,158,175,184,180,175,206,189,196,203,219,227,232,233,243,251,272,267,311,265,289,300
Nebraska,220,191,188,171,188,187,189,176,204,177,193,187,201,176,166,187,202,181,191,170,193,193,232,220,251,223,246,275,271,309,283
Nevada,294,319,329,323,341,395,335,411,397,404,400,387,423,434,440,480,486,471,528,505,547,516,524,541,573,558,650,627,657,642,603
New Hampshire,149,130,137,144,137,137,137,136,154,137,131,167,132,158,133,162,151,158,179,166,196,198,202,185,247,228,244,265,279,255,234
New Jersey,567,513,513,558,578,578,586,586,581,563,560,588,553,588,597,536,585,596,615,557,719,689,683,757,786,789,687,795,778,762,679
New Mexico,283,283,303,287,303,297,318,300,297,318,327,362,349,343,356,342,352,401,419,376,413,420,442,431,449,500,471,491,536,513,516
New York,1553,1584,1532,1384,1498,1370,1327,1372,1364,1196,1132,1253,1228,1169,1187,1189,1326,1396,1409,1417,1547,1658,1708,1687,1700,1652,1679,1696,1723,1705,1642
North Carolina,929,844,860,789,897,908,908,906,857,884,971,997,986,955,1027,1009,1106,1077,1162,1174,1174,1213,1286,1284,1351,1406,1373,1521,1494,1358,1441
North Dakota,73,74,65,79,80,94,77,80,72,73,68,79,91,81,73,92,90,95,86,90,106,106,105,128,137,124,140,154,147,136,135
Ohio,1188,1237,1194,1155,1101,1077,1054,1126,1108,1102,1088,1219,1287,1074,1319,1341,1325,1295,1412,1176,1439,1465,1542,1526,1491,1650,1707,1740,1838,1806,1644
Oklahoma,392,442,472,491,451,502,467,497,471,492,497,515,501,476,506,522,537,531,575,567,618,693,670,665,736,790,822,756,790,816,869
Oregon,449,453,488,465,512,497,520,534,545,478,493,505,518,592,555,560,579,594,572,644,685,656,724,698,782,762,772,825,844,906,833
Pennsylvania,1452,1397,1389,1412,1326,1459,1428,1412,1370,1284,1356,1276,1341,1340,1410,1430,1396,1441,1539,1631,1576,1747,1647,1788,1817,1894,1970,2030,2014,1896,1694
Rhode Island,127,82,73,90,82,89,83,72,86,96,75,88,86,84,85,71,90,96,110,118,129,101,105,132,113,127,126,129,106,123,94
South Carolina,434,420,465,491,468,436,497,432,449,418,443,467,440,476,482,510,524,530,565,619,637,658,673,696,753,742,815,838,811,852,868
South Dakota,91,95,79,117,97,86,124,127,115,103,95,105,94,102,112,121,125,102,124,129,140,128,141,147,141,173,163,191,167,182,186
Tennessee,653,662,650,673,660,681,691,729,744,726,730,711,778,762,792,856,874,844,973,947,943,955,978,1030,948,1068,1111,1166,1161,1219,1220
Texas,2206,2249,2258,2266,2337,2234,2223,2146,2133,2005,2053,2225,2311,2363,2300,2418,2347,2433,2552,2809,2891,2896,3037,3059,3254,3403,3488,3778,3930,3891,3924
Utah,264,286,256,260,291,288,287,301,336,282,298,321,340,336,377,348,362,378,390,449,473,502,550,579,559,630,620,663,665,654,651
Vermont,84,92,80,92,58,76,66,73,86,63,77,72,92,83,93,78,81,89,94,87,106,120,87,112,124,103,118,112,125,110,117
Virginia,799,793,812,783,821,827,829,762,827,791,768,797,799,808,828,866,876,880,948,963,963,1054,1063,1072,1122,1118,1166,1179,1243,1140,1202
Washington,677,692,694,690,759,781,773,728,708,816,727,712,811,803,830,822,809,865,889,921,957,1021,1038,1027,1119,1137,1141,1297,1252,1263,1212
West Virginia,219,240,240,269,258,276,279,262,232,229,245,286,276,266,285,255,269,300,261,253,279,306,326,323,359,340,362,393,395,330,354
Wisconsin,620,573,586,589,592,622,601,576,594,593,590,639,627,647,662,643,670,729,743,724,793,745,723,850,769,877,866,926,888,845,866
Wyoming,81,87,84,105,107,82,88,95,87,98,83,83,105,109,88,90,116,101,124,111,131,132,171,129,120,157,144,157,147,170,182
U.S.A. TOTAL,30906,30810,30484,31102,31142,31284,30903,30535,30575,29199,29350,30622,31655,31484,32439,32637,33300,34598,36035,36909,38364,39518,40600,41149,42773,44193,44965,47173,48344,47511,45979